,kcat,data_type,MW,kcat_MW
rxn08295_c,10.403333333333332,Other_species,17917.1538,2090.287353563935
rxn02914_c,0.5483333333333333,Other_species,79644.583,24.78511313192512
rxn01603_c,0.4166667,Other_species,45689.9886,32.8299517238225
rxn00686_c,1.4,Other_species,43214.1362,116.62850268889558
rxn00689_c,91.46636363636364,Other_species,45689.9886,7206.806549540464
rxn08129_c,743.6357,Other_species,117297.966,22822.97478201796
rxn01286_c,11.6025,Other_species,162478.1243,257.07460730453545
rxn05289_c,5.121969090909091,Other_species,63363.2722,291.00594219742214
rxn00117_c,890.0,Other_species,16903.2791,189549.02069859332
rxn05343_c,0.044333333333333336,Other_species,43139.3518,3.6996383427346724
rxn03445_c,0.11499999999999999,Other_species,79644.583,5.19809363557092
rxn08298_c,10.403333333333332,Other_species,17917.1538,2090.287353563935
rxn01834_c,70.96,Other_species,27590.8152,9258.73331934027
rxn00293_c,137.22307692307692,Other_species,147449.3892,3350.3229793174137
rxn00701_c,280.3222222222222,Other_species,113864.8824,8862.78524800022
rxn00367_c,12.233333333333334,Other_species,67371.6422,653.6874946474142
rxn00839_c,890.0,Other_species,16903.2791,189549.02069859332
rxn03838_c,60.99666666666667,Other_species,164769.1972,1332.7005516295615
rxn21857_c,159.069,Other_species,102101.1492,5608.638144496027
rxn23043_c,999.0,Other_species,95201.1756,37776.84442795893
rxn45425_c,0.000725,Other_species,35419.1302,0.07368899194481066
rxn45996_c,0.009049999999999999,Other_species,210948.75960000002,0.15444508923293992
rxn21862_c,0.1,Other_species,16026.5332,22.462749461000087
rxn39452_c,1142.7105161621917,fill,110288.244,37300.0576397235
rxn16583_c,1.375,Other_species,43643.4024,113.41920491515117
rxn42230_c,74.93867,Other_species,18685.5198,14437.87568596299
rxn15949_c,6.03,Other_species,83690.3386,259.3847792127346
rxn47768_c,1142.7105161621917,fill,43139.3518,95359.7512836039
rxn39451_c,96.02176923076924,Other_species,110288.244,3134.317463888257
rxn21858_c,0.1,Other_species,16026.5332,22.462749461000087
rxn21861_c,159.069,Other_species,102101.1492,5608.638144496027
rxn17731_c,2.78043294,Other_species,71509.0588,139.97609186823752
rxn16574_c,0.0012,Other_species,17186.5321,0.25135960965621446
rxn23042_c,999.0,Other_species,95201.1756,37776.84442795893
rxn00154_c,9.62675,Other_species,528028.162,65.63343111991061
rxn15167_c,13.697692307692307,Other_species,65071.389,757.80912418655
rxn15395_c,89.84178947368422,Other_species,153202.4144,2111.131494708762
rxn18486_c,0.23750000000000002,Other_species,53749.0157,15.907268046956998
rxn08070_c,0.845,Other_species,262941.88790000003,11.569096214738176
rxn14048_c_reverse_num1,0.48,Other_species,86178.74160000001,20.051348719160224
rxn26127_c,26.95,Other_species,247958.924,391.27448383345944
rxn00762_c_reverse,36.880416249999996,Other_species,157379.7808,843.6248787811247
rxn00781_c_reverse_num1,125.234,Other_species,147122.2948,3064.405708277465
rxn00250_c_reverse,12.963145454545455,Other_species,126891.8898,367.7723116104433
rxn00171_c_reverse_num1,11.03,Other_species,191059.7792,207.83024122745348
rxn02380_c_reverse,1231.8181818181818,Other_species,49011.1365,90480.36367296755
rxn00499_c_reverse,85.07575181818181,Other_species,276389.82999999996,1108.1185821687236
rxn00392_c_reverse,2.6733333333333333,Other_species,103152.2169,93.29901275248308
rxn00747_c_reverse,11660.6,Other_species,52987.8448,792222.4457032456
rxn01334_c_reverse_num1,16.6515,Other_species,122055.0224,491.1342345548575
rxn00777_c_reverse_num1,7734.305,Other_species,45860.2766,607137.594106879
rxn02314_c_reverse,163.75925,Other_species,139162.0236,4236.308762615608
rxn04794_c_reverse,7.9825,Other_species,168051.7222,171.00092533297467
rxn00786_c_reverse_num1,18.5473,Other_species,122055.0224,547.0506554099817
rxn01100_c_reverse,368.7242857142857,Other_species,42119.704,31515.11768865775
rxn01116_c_reverse,1336.51725,Other_species,44463.0614,108212.5690067756
rxn00670_c_reverse,500.45,Other_species,139608.3324,12904.817133966424
rxn01870_c_reverse,1.4984848181818182,Other_species,122055.0224,44.197651513065026
rxn01106_c_reverse_num1,324.9216666666667,Other_species,54366.996,21515.222213123565
rxn00543_c_reverse,31.627563,Other_species,231000.13989999998,492.8967872023354
rxn00799_c_reverse_num1,478.9045454545455,Other_species,39859.6882,43253.132211816046
rxn00459_c_reverse,58.39727272727273,Other_species,183661.7012,1144.6598852378581
rxn00770_c_reverse,24.1725,Other_species,249723.29110000003,348.46969866800697
rxn05209_c_reverse_num1,1142.7105161621917,fill,82724.4624,49728.432664723965
rxn03249_c_reverse,827.0366923076923,Other_species,31543.3946,94388.4489942529
rxn00785_c_reverse_num1,31899.69230769231,Other_species,33236.9178,3455160.7040918907
rxn00077_c_reverse,27.086,Other_species,62317.9968,1564.710115970865
rxn01388_c_reverse,1.1,Other_species,69246.7188,57.1868251467245
rxn01480_c_reverse,3.43,Other_species,31543.3946,391.4607212249756
rxn01200_c_reverse_num1,28.642,Other_species,33236.9178,3102.309324241852
rxn00763_c_reverse,9.783357583815029,Other_species,231000.13989999998,152.4678180583825
rxn00974_c_reverse,5.3,Other_species,69246.7188,275.5365211614907
rxn00364_c_reverse_num1,114.32454545454546,Other_species,48035.5862,8567.988780708658
rxn01673_c_reverse,576.4,Other_species,16903.2791,122759.61295580809
rxn02000_c_reverse,14.136,Other_species,41304.6176,1232.0559529886557
rxn01358_c_reverse,4598.060909090909,Other_species,57803.2118,286368.5037087727
rxn01219_c_reverse_num1,51.74,Other_species,48035.5862,3877.62520945357
rxn00800_c_reverse_num1,1.5233333333333334,Other_species,53615.9384,102.28301814074003
rxn01705_c_reverse,2.5013666666666667,Other_species,76254.525,118.09030349346482
rxn00211_c_reverse,0.117,Other_species,46748.4798,9.00991864980388
rxn02504_c_reverse,0.34526666666666667,Other_species,13644.6414,91.09510199366618
rxn03039_c_reverse,5.65475,Other_species,58843.0986,345.9556088026948
rxn05334_c_reverse,7.070588235294117,Other_species,16026.5332,1588.2485207130649
rxn00816_c_reverse,288.90625,Other_species,398463.01619999995,2610.1857831592656
rxn01021_c_reverse,2.332105263157895,Other_species,24501.9496,342.6494252264898
rxn08895_c_reverse,1142.7105161621917,fill,346680.508,11866.135428023228
rxn00910_c_reverse,117.13846153846154,Other_species,127064.1488,3318.7839805405565
rxn00953_c_reverse,13.697692307692307,Other_species,65071.389,757.80912418655
rxn01129_c_reverse,5.2,Other_species,76254.525,245.49362808305477
rxn05647_c_reverse,1142.7105161621917,fill,187178.9473,21977.67386516277
rxn10254_c_reverse,10.403333333333332,Other_species,17917.1538,2090.287353563935
rxn05459_c_reverse,2.5,Other_species,81869.7114,109.93076494465326
rxn01682_c_reverse,13.5724,Other_species,143045.5312,341.57404002845215
rxn08941_c_reverse,1142.7105161621917,fill,247958.924,16590.481164468554
rxn00337_c_reverse,21.54230769230769,Other_species,86225.342,899.4143240662089
rxn08127_c_reverse,57.15384210526316,Other_species,117297.966,1754.112527227858
rxn02679_c_reverse,92.11603090909091,Other_species,41063.8695,8075.6566614533795
rxn01974_c_reverse,98.44,Other_species,61700.3158,5743.633487204939
rxn05569_c_reverse,1142.7105161621917,fill,187178.9473,21977.67386516277
rxn09023_c_reverse,1142.7105161621917,fill,41697.2873,98657.68553686919
rxn05560_c_reverse_num1,1142.7105161621917,fill,187178.9473,21977.67386516277
rxn01451_c_reverse,15.0,Other_species,31543.3946,1711.9273522958115
