id,smiles
cpd01793,O=C([O-])C(=O)[C@@H](O)[C@H](O)C(=O)CO
cpd15807,Nc1nc(NC[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c(N)c(=O)[nH]1
cpd00516,[NH3+][C@@H](CCC[C@@H]([NH3+])C(=O)[O-])C(=O)[O-]
cpd00504,[NH3+][C@@H](CCC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]
cpd00498,CC[C@](O)(C(C)=O)C(=O)[O-]
cpd03049,Cc1ncc(C[n+]2c(C(C)O)sc(CCOP(=O)([O-])OP(=O)([O-])O)c2C)c(N)n1
cpd00956,O=C([O-])c1ccccc1NCC(=O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
cpd02857,O=C([O-])C(=O)C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
cpd00480,O=C([O-])C(=O)[C@@H](O)[C@H](O)[C@H](O)CO
cpd00712,CC(C)(CO)C(=O)C(=O)[O-]
cpd15352,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=CC(=O)c2ccccc2C1=O
cpd15353,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)c2ccccc2c1O
cpd00509,O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1
cpd00510,O=P([O-])([O-])OC[C@H]1OC(O)C[C@@H]1O
cpd01553,OCc1ccccc1O
cpd00524,O=C1[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O
cpd01710,CC(C)/C(=C/C(=O)[O-])C(=O)[O-]
cpd02124,CC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cpd02894,Cc1nc(N)c(COP(=O)([O-])OP(=O)([O-])[O-])c[nH+]1
cpd08286,C[C@](O)(CO)[C@H](O)COP(=O)([O-])[O-]
cpd08301,C[C@@]1(CO)OP(=O)([O-])OP(=O)([O-])OC[C@H]1O
cpd00094,CCC(=O)C(=O)[O-]
cpd03445,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cccc(O)c1O
cpd03449,COc1c(O)c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O
cpd03446,COc1cccc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O
cpd03444,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1ccccc1O
cpd08288,C[C@@](CO)(OP(=O)([O-])[O-])[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
cpd00482,O=C([O-])[C@@H](CO)OP(=O)([O-])[O-]
cpd00727,O=C([O-])COP(=O)([O-])[O-]
cpd03451,O=C([O-])CCC(=O)C1=CC=C[C@@H](O)[C@@H]1C(=O)[O-]
cpd02693,CC(C)[C@H](C(=O)[O-])[C@@H](O)C(=O)[O-]
cpd01646,CC(C)[C@@](O)(CC(=O)[O-])C(=O)[O-]
cpd02605,CC(C)[C@H](C(=O)[O-])C(=O)C(=O)[O-]
cpd00699,O=C1C[C@@](O)(C(=O)[O-])C[C@@H](O)[C@@H]1O
cpd01716,O=C([O-])C1=CC(=O)[C@@H](O)[C@H](O)C1
cpd09844,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@H](O)CCC(=O)[O-]
cpd00842,C[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cpd11478,*SC(=O)C[C@@H](C)O
cpd15368,
cpd15370,
cpd11480,
cpd11482,
